NAME                          TYPE        CLUSTER-IP      EXTERNAL-IP   PORT(S)                         AGE
backend                       ClusterIP   10.43.52.53     <none>        8030/TCP                        9m35s
couchdb                       ClusterIP   10.43.16.88     <none>        5984/TCP                        9m35s
extensions-all-iiot           ClusterIP   10.43.112.237   <none>        8090/TCP                        9m35s
influxdb                      ClusterIP   10.43.127.9     <none>        8083/TCP,8086/TCP,8090/TCP      9m35s
nats                          NodePort    10.43.65.220    <none>        4222:32222/TCP                  9m35s
phase2-dinky                  ClusterIP   10.43.126.213   <none>        8888/TCP                        105m
phase2-ekuiper                ClusterIP   10.43.2.181     <none>        9081/TCP                        7h27m
phase2-kafka-connect          ClusterIP   10.43.19.110    <none>        8083/TCP                        4h14m
phase2-mosquitto              ClusterIP   10.43.81.175    <none>        1883/TCP                        7h33m
phase2-nifi                   ClusterIP   10.43.91.148    <none>        8080/TCP                        124m
phase2-pulsar                 ClusterIP   10.43.171.170   <none>        6650/TCP,8080/TCP               6h49m
phase2-redpanda               ClusterIP   10.43.226.159   <none>        9092/TCP,9644/TCP               7h40m
phase2-rocketmq-broker        ClusterIP   10.43.8.100     <none>        10909/TCP,10911/TCP,10912/TCP   4h3m
phase2-rocketmq-connect       ClusterIP   10.43.4.0       <none>        8082/TCP                        3h22m
phase2-rocketmq-eventbridge   ClusterIP   10.43.176.22    <none>        7001/TCP,7002/TCP               157m
phase2-rocketmq-namesrv       ClusterIP   10.43.173.234   <none>        9876/TCP                        4h3m
phase2-streampark             ClusterIP   10.43.189.254   <none>        10000/TCP                       64m
ui                            ClusterIP   10.43.13.124    <none>        8088/TCP                        9m35s
